"","country","currency","pop","gdp","emp","price"
"1","Aruba","Aruban Guilder",0.106314,3073.19970703125,0.0476008877158165,0.889471173286438
"2","Angola","Kwanza",31.825295,222007.515625,16.644962310791,0.441333740949631
"4","Albania","Lek",2.880917,37189.44140625,1.07589769363403,0.476494491100311
"5","United Arab Emirates","UAE Dirham",9.770529,648054.6875,5.80883407592773,0.730298459529877
"6","Argentina","Argentine Peso",44.780677,975023.875,20.6432151794434,0.480253368616104
"7","Armenia","Armenian Dram",2.957731,43237.30859375,0.966090977191925,0.350727945566177
"9","Australia","Australian Dollar",25.203198,1315581.25,12.8631744384766,1.05089521408081
"10","Austria","Euro",8.955102,476657.28125,4.55028104782104,0.947114288806915
"11","Azerbaijan","Azerbaijanian Manat",10.047718,143840.75,5.02717876434326,0.30876499414444
"12","Burundi","Burundi Franc",11.53058,9248.333984375,5.00358819961548,0.332163095474243
"13","Belgium","Euro",11.539328,534585.875,4.92193651199341,0.953680455684662
"14","Benin","CFA Franc BCEAO",11.801151,39121.8984375,4.30030059814453,0.377570629119873
"15","Burkina Faso","CFA Franc BCEAO",20.321378,41553.36328125,6.95875597000122,0.350241720676422
"16","Bangladesh","Taka",163.046161,766232.75,65.534065246582,0.377013206481934
"17","Bulgaria","Bulgarian Lev",7.000119,148140.640625,3.42041850090027,0.462458461523056
"18","Bahrain","Bahraini Dinar",1.641172,76220.1328125,0.743663609027863,0.588958144187927
"19","Bahamas","Bahamian Dollar",0.389482,12748.7900390625,0.207315564155579,1.10144329071045
"20","Bosnia and Herzegovina","Convertible Marks",3.301,45140.1484375,0.690263569355011,0.472119718790054
"21","Belarus","Belarussian Ruble",9.452411,200266.71875,4.30644178390503,0.311436802148819
"22","Belize","Belize Dollar",0.390353,2387.25146484375,0.158518478274345,0.732691705226898
"23","Bermuda","Bermudian Dollar",0.062506,3260.423828125,0.0342072956264019,1.48918771743774
"24","Bolivia (Plurinational State of)","Boliviano",11.5131,97512.0625,5.54382562637329,0.372808814048767
"25","Brazil","Brazilian Real",211.049527,3041015.25,93.9568252563477,0.603779852390289
"26","Barbados","Barbados Dollar",0.287025,3357.36840820312,0.132258623838425,1.08315443992615
"27","Brunei Darussalam","Brunei Dollar",0.433285,28357.552734375,0.222358033061028,0.497830629348755
"28","Bhutan","Ngultrum",0.763092,8912.0322265625,0.320460736751556,0.301700204610825
"29","Botswana","Pula",2.303697,38421.11328125,0.921595811843872,0.50573742389679
"30","Central African Republic","CFA Franc BEAC",4.745185,4556.30712890625,1.84432792663574,0.499336868524551
"31","Canada","Canadian Dollar",37.411047,1873625.25,19.2986621856689,0.953023493289948
"32","Switzerland","Swiss Franc",8.591365,648579.6875,5.01120471954346,1.31954216957092
"33","Chile","Chilean Peso",18.952038,443550.59375,8.10007190704346,0.698856592178345
"34","China","Yuan Renminbi",1433.783686,18025052,798.807739257812,0.609829246997833
"35","Cote d'Ivoire","CFA Franc BCEAO",25.716544,126258.3671875,7.51022386550903,0.429149478673935
"36","Cameroon","CFA Franc BEAC",25.87638,93469.875,10.3652763366699,0.413554787635803
"37","Congo, Democratic Republic","Franc Congolais",86.790567,90556.7265625,25.1399307250977,0.463342219591141
"38","Congo","CFA Franc BEAC",5.380508,19337.58203125,2.01545786857605,0.49866309762001
"39","Colombia","Colombian Peso",50.339443,695201,21.1996078491211,0.477475196123123
"40","Comoros","Comoro Franc",0.850886,2734.27563476562,0.201388388872147,0.480496942996979
"41","Cabo Verde","Cabo Verde Escudo",0.549935,4087.00708007812,0.212166577577591,0.46734219789505
"42","Costa Rica","Costa Rican Colon",5.047561,94001.578125,2.25635552406311,0.661369502544403
"43","Curacao","Netherlands Antillian Guilder",0.163424,3383.15698242188,0.0609506294131279,0.845903754234314
"44","Cayman Islands","Cayman Islands Dollar",0.064948,4590.619140625,0.0450873374938965,1.4383237361908
"45","Cyprus","Euro",0.868495,28713.37109375,0.3665671646595,0.753767371177673
"46","Czech Republic","Czech Koruna",10.689209,399577.65625,5.48143243789673,0.624646067619324
"47","Germany","Euro",83.517045,4312886,44.7951965332031,0.824545323848724
"48","Djibouti","Djibouti Franc",0.97356,4786.412109375,0.372467875480652,0.510568380355835
"50","Denmark","Danish Krone",5.771876,311121.71875,2.97183656692505,1.16646444797516
"51","Dominican Republic","Dominican Peso",10.738958,195586.25,5.12667942047119,0.488140821456909
"52","Algeria","Algerian Dinar",43.053054,481095.8125,11.2734537124634,0.333632260560989
"53","Ecuador","US Dollar",17.373662,194121.609375,8.24667072296143,0.563131809234619
"54","Egypt","Egyptian Pound",100.388073,1287724.5,26.7946472167969,0.282018721103668
"55","Spain","Euro",46.736776,1895669,19.872013092041,0.793339848518372
"56","Estonia","Euro",1.325648,44770.4765625,0.672975540161133,0.691001415252686
"57","Ethiopia","Ethiopian Birr",112.07873,249379.5,58.0609703063965,0.29868471622467
"58","Finland","Euro",5.532156,247934.34375,2.67370533943176,1.04802370071411
"59","Fiji","Fiji Dollar",0.889953,12041.3525390625,0.308247536420822,0.46889927983284
"60","France","Euro",67.351247,2963640.75,28.532564163208,0.919597923755646
"61","Gabon","CFA Franc BEAC",2.172579,31981.888671875,0.65801066160202,0.560489594936371
"62","United Kingdom","Pound Sterling",67.530172,3015582.75,32.9824981689453,0.999429762363434
"63","Georgia","Lari",3.996765,63461.44921875,1.37207722663879,0.339294999837875
"64","Ghana","Cedi",30.417856,167439.875,13.220724105835,0.355783581733704
"65","Guinea","Guinea Franc",12.771246,32790.44921875,4.6799750328064,0.415219724178314
"66","Gambia","Dalasi",2.347706,5542.9267578125,0.688571572303772,0.337333589792252
"67","Guinea-Bissau","CFA Franc BCEAO",1.920922,3765.20751953125,0.779939353466034,0.425054669380188
"68","Equatorial Guinea","CFA Franc BEAC",1.355986,28408.271484375,0.495654612779617,0.565350830554962
"69","Greece","Euro",10.473455,289445.15625,4.23507261276245,0.719292521476746
"70","Grenada","East Caribbean Dollar",0.112003,1668.48278808594,0.0635957643389702,0.668466925621033
"71","Guatemala","Quetzal",17.581472,136146.140625,7.09337329864502,0.589293479919434
"72","Guyana","Guyana Dollar",0.782766,10392.0595703125,0.257115542888641,0.528878927230835
"73","China, Hong Kong SAR","Hong Kong Dollar",7.436154,371551.21875,3.86381030082703,0.82074362039566
"74","Honduras","Lempira",9.746117,53685.15234375,3.83340001106262,0.475694596767426
"75","Croatia","Croatian Kuna",4.130304,112060.4140625,1.81762433052063,0.610888540744781
"76","Haiti","Gourde",11.263077,18268.79296875,4.53467750549316,0.47853010892868
"77","Hungary","Forint",9.684679,288464.8125,4.71157693862915,0.555065393447876
"78","Indonesia","Rupiah",270.625568,3109644.75,131.170684814453,0.379809856414795
"79","India","Indian Rupee",1366.417754,9163539,497.61572265625,0.297035396099091
"80","Ireland","Euro",4.882495,472537.5,2.26044774055481,1.10150289535522
"81","Iran (Islamic Republic of)","Iranian Rial",82.913906,1000738.0625,24.5948104858398,0.579281747341156
"82","Iraq","Iraqi Dinar",39.309783,455630.375,8.77213954925537,0.485213339328766
"83","Iceland","Iceland Krona",0.339031,17639.5546875,0.192338079214096,1.25564134120941
"84","Israel","New Israeli Sheqel",8.519377,343837.5,4.22871017456055,1.13715147972107
"85","Italy","Euro",60.550075,2467128.75,25.5963287353516,0.85272479057312
"86","Jamaica","Jamaican Dollar",2.948279,24653.248046875,1.24489998817444,0.582481145858765
"87","Jordan","Jordanian Dinar",10.101694,107565.2578125,2.45928978919983,0.456370174884796
"88","Japan","Yen",126.860301,5095623.5,69.976692199707,1.05615949630737
"89","Kazakhstan","Tenge",18.551427,512354,8.82071304321289,0.355121195316315
"90","Kenya","Kenyan Shilling",52.573973,227539.515625,25.0740222930908,0.441137909889221
"91","Kyrgyzstan","Som",6.41585,40464.66015625,2.6706280708313,0.28051295876503
"92","Cambodia","Riel",16.486542,72797.375,8.73146343231201,0.378433704376221
"94","Republic of Korea","Won",51.225308,2192546.5,26.7985343933105,0.854351043701172
"95","Kuwait","Kuwaiti Dinar",4.207083,231941.828125,2.37254023551941,0.619504272937775
"96","Lao People's DR","Kip",7.169455,56149.421875,3.61881804466248,0.375371843576431
"97","Lebanon","Lebanese Pound",6.855713,100505.71875,2.00189828872681,0.745732188224792
"98","Liberia","US Dollar",4.937374,6404.99365234375,1.9186075925827,0.312474519014359
"99","Saint Lucia","East Caribbean Dollar",0.18279,2259.5029296875,0.0837000012397766,0.765177369117737
"100","Sri Lanka","Sri Lanka Rupee",21.323733,284124.65625,8.18049621582031,0.329415798187256
"101","Lesotho","Loti",2.125268,6407.72119140625,0.666798174381256,0.419447898864746
"102","Lithuania","Euro",2.759627,92076.7421875,1.37952864170074,0.560227870941162
"103","Luxembourg","Euro",0.615729,56568.01171875,0.460662841796875,1.07607996463776
"104","Latvia","Euro",1.906743,56231.59375,0.896588742733002,0.655637919902802
"105","China, Macao SAR","Pataca",0.640445,58793.5546875,0.387800008058548,0.791730225086212
"106","Morocco","Moroccan Dirham",36.471769,290362.75,11.5222978591919,0.44229993224144
"107","Republic of Moldova","Moldovan Leu",4.043263,39804.02734375,1.42887794971466,0.370971173048019
"108","Madagascar","Malagasy Ariary",26.969307,44955.58203125,13.9447803497314,0.299841552972794
"109","Maldives","Rufiyaa",0.530953,11051.2861328125,0.189434811472893,0.619098305702209
"110","Mexico","Mexican Peso",127.575529,2405969,54.993595123291,0.528451919555664
"111","North Macedonia","Denar",2.083459,33718.8515625,0.858669698238373,0.405667990446091
"112","Mali","CFA Franc BCEAO",19.658031,47222.35546875,6.15009164810181,0.347521483898163
"113","Malta","Euro",0.440372,17296.556640625,0.22019051015377,0.726350605487823
"114","Myanmar","Kyat",54.04542,279041.21875,22.1093082427979,0.301671326160431
"115","Montenegro","Euro",0.627987,13324.5693359375,0.24379999935627,0.475220233201981
"116","Mongolia","Tugrik",3.225167,36591.8203125,1.37653481960297,0.354324191808701
"117","Mozambique","Metical",30.366036,38382.984375,11.0179576873779,0.387755244970322
"118","Mauritania","Ouguiya",4.525696,22854.49609375,1.12906622886658,0.359222292900085
"119","Montserrat","East Caribbean Dollar",0.004989,79.5499572753906,0.0025366076733917,0.803877472877502
"120","Mauritius","Mauritius Rupee",1.269668,30243.13671875,0.58281147480011,0.496513873338699
"121","Malawi","Kwacha",18.628747,22177.572265625,7.95041799545288,0.365387737751007
"122","Malaysia","Malaysian Ringgit",31.949777,821287.8125,15.1183233261108,0.415441781282425
"123","Namibia","Namibian Dollar",2.49453,23729.361328125,0.742307007312775,0.484443694353104
"124","Niger","CFA Franc BCEAO",23.310715,27599.99609375,8.86972713470459,0.429281175136566
"125","Nigeria","Naira",200.963599,1006572.75,73.0205535888672,0.421533703804016
"126","Nicaragua","Cordoba Oro",6.545502,33329.88671875,2.66245698928833,0.391421973705292
"127","Netherlands","Euro",17.09713,960964.375,9.45690822601318,0.961787164211273
"128","Norway","Norwegian Krone",5.378857,377597.96875,2.85366177558899,1.25296223163605
"129","Nepal","Nepalese Rupee",28.60871,103419.78125,15.6527090072632,0.294834852218628
"130","New Zealand","New Zealand Dollar",4.783063,196361.078125,2.50608086585999,1.03301537036896
"131","Oman","Rial Omani",4.974986,145031.25,2.77946543693542,0.551811575889587
"132","Pakistan","Pakistan Rupee",216.565318,1078783.75,63.0850524902344,0.233345627784729
"133","Panama","Balboa",4.246439,129125.5390625,1.91989994049072,0.516014575958252
"134","Peru","Nuevo Sol",32.510453,399277.09375,16.8904037475586,0.584264695644379
"135","Philippines","Philippine Peso",108.116615,930081.375,42.4248008728027,0.382961243391037
"136","Poland","Zloty",37.887768,1213637.5,16.159107208252,0.492911249399185
"137","Portugal","Euro",10.226187,329151.09375,4.96158933639526,0.744579136371613
"138","Paraguay","Guarani",7.044636,87868.28125,3.35827970504761,0.42838442325592
"139","State of Palestine","US Dollar",4.98142,32059.033203125,0.999628663063049,0.582529723644257
"140","Qatar","Qatari Rial",2.832067,304176.625,2.0839512348175,0.89350950717926
"141","Romania","New Leu",19.364557,542867.25,8.68029975891113,0.472195327281952
"142","Russian Federation","Russian Ruble",145.872256,4048254,71.6706390380859,0.414233684539795
"143","Rwanda","Rwanda Franc",12.62695,29438.96875,5.27478694915771,0.341449171304703
"144","Saudi Arabia","Saudi Riyal",34.268528,1647909,13.7446050643921,0.451090008020401
"145","Sudan","Sudanese Pound",42.813238,550860.4375,10.3220720291138,0.0722136721014977
"146","Senegal","CFA Franc BCEAO",16.296364,54103.6328125,6.14295387268066,0.407444655895233
"147","Singapore","Singapore Dollar",5.804337,484844.46875,3.75960373878479,0.767078876495361
"148","Sierra Leone","Leone",7.813215,14169.556640625,2.53552961349487,0.315985649824142
"149","El Salvador","US Dollar",6.453553,53204.828125,3.00761151313782,0.518034756183624
"150","Serbia","Serbian Dinar",6.99451,122931.0078125,2.90519046783447,0.477439969778061
"151","Sao Tome and Principe","Dobra",0.215056,877.672119140625,0.0646015554666519,0.5807044506073
"152","Suriname","Surinam Dollar",0.581372,8019.55078125,0.220865160226822,0.458520084619522
"153","Slovakia","Euro",5.457013,153067.078125,2.46886086463928,0.674971759319305
"154","Slovenia","Euro",2.078654,70655.0078125,1.04680585861206,0.724795877933502
"155","Sweden","Swedish Krona",10.036379,531641.3125,5.00213670730591,0.985478937625885
"156","Eswatini","Lilangeni",1.14813,9662.8046875,0.312530398368835,0.464857041835785
"158","Seychelles","Seychelles Rupee",0.097739,2436.32788085938,0.0524728745222092,0.641092956066132
"159","Syrian Arab Republic","Syrian Pound",17.070135,122258.1875,4.76093482971191,0.29581144452095
"161","Chad","CFA Franc BEAC",15.946876,24980.48046875,5.95542907714844,0.40507110953331
"162","Togo","CFA Franc BCEAO",8.082366,17449.205078125,3.1719708442688,0.411657184362411
"163","Thailand","Baht",69.625582,1229046.625,37.540958404541,0.43089833855629
"164","Tajikistan","Somoni",9.321018,40940.671875,2.68257808685303,0.304267883300781
"165","Turkmenistan","Manat",5.942089,154553.125,3.23603343963623,0.536564946174622
"166","Trinidad and Tobago","Trinidad and Tobago Dollar",1.394973,35715.29296875,0.613717019557953,0.614439725875854
"167","Tunisia","Tunisian Dinar",11.694719,129371.9375,3.68708443641663,0.281686127185822
"168","Turkey","New Turkish Lira",83.429615,2241334.75,28.0873336791992,0.396766245365143
"169","Taiwan","New Taiwan Dollar",23.596027,1127814.875,11.5,0.52965247631073
"170","U.R. of Tanzania: Mainland","Tanzanian Shilling",56.379874,139840.359375,23.6701431274414,0.364880263805389
"171","Uganda","Uganda Shilling",44.269594,91116.5625,15.4918756484985,0.330783277750015
"172","Ukraine","Hryvnia",43.993638,573521,16.4990768432617,0.311474502086639
"173","Uruguay","Peso Uruguayo",3.461734,72159.0625,1.63537883758545,0.768037617206573
"174","United States of America","US Dollar",329.064917,20563592,158.299591064453,1.01297187805176
"175","Uzbekistan","Uzbekistan Sum",32.981716,394552,14.6245346069336,0.216182097792625
"176","St. Vincent & Grenadines","East Caribbean Dollar",0.110589,1164.78723144531,0.0404665768146515,0.674244582653046
"177","Venezuela (Bolivarian Republic of)","Bolivar Fuerte",28.515829,6671.345703125,11.6943998336792,18.2745971679688
"178","British Virgin Islands","US Dollar",0.03003,1119.37182617188,0.0139637412503362,1.08220958709717
"179","Viet Nam","Dong",96.462106,741827.375,50.3995628356934,0.350101679563522
"180","Yemen","Yemeni Rial",29.161922,40020.93359375,5.53187704086304,0.783228874206543
"181","South Africa","Rand",58.55827,732494.125,18.6427097320557,0.467009305953979
"182","Zambia","Kwacha",17.86103,56261.33203125,5.22544765472412,0.375772029161453
"183","Zimbabwe","US Dollar",14.645468,42685.41015625,6.83101654052734,0.498328924179077
